"","Name","Adjusted","year","catch","catch_ma","b","b_lo","b_hi","bbmsy","bbmsy_lo","bbmsy_hi","s","s_lo","s_hi","f","f_lo","f_hi","fmsy","fmsy_lo","fmsy_hi","ffmsy","ffmsy_lo","ffmsy_hi","er"
"289","Micropogonias","IUU_20",2005,141.91536,141.91536,492.507402683484,249.990445859348,746.724300205799,0.791478486524094,0.401744336544315,1.20001489471514,0.395739243262047,0.200872168272157,0.600007447357571,0.288148684114711,0.190050544706912,0.567683134898067,0.282762719349769,0.203742735688374,0.392429969019201,1.01904764806806,0.672120232624534,2.00763076618973,1.01904764806806
"290","Micropogonias","IUU_20",2006,140.07888,140.99712,482.073603884279,256.594504138965,713.177512153824,0.774710967422257,0.412357314184018,1.14610390598593,0.387355483711128,0.206178657092009,0.573051952992966,0.290575710578888,0.1964151667892,0.54591535570901,0.282762719349769,0.203742735688374,0.392429969019201,1.02763090992719,0.694628935670408,1.93064827274394,1.02763090992719
"291","Micropogonias","IUU_20",2007,147.18444,143.05956,479.395239431357,264.024620210256,685.082716654601,0.770406731928519,0.424297798714325,1.10095448061736,0.38520336596426,0.212148899357163,0.550477240308678,0.307021071328504,0.214841852555749,0.557464829919232,0.282762719349769,0.203742735688374,0.392429969019201,1.08579048905216,0.759795538286633,1.97149338215858,1.08579048905216
"292","Micropogonias","IUU_20",2008,128.22456,138.49596,476.904399029795,267.323670409733,649.772309006177,0.766403854854064,0.429599500261596,1.0442092868358,0.383201927427032,0.214799750130798,0.522104643417902,0.268868478170588,0.197337680019204,0.479660330128893,0.282762719349769,0.203742735688374,0.392429969019201,0.950862542236364,0.697891435168662,1.6963351152935,0.950862542236364
"293","Micropogonias","IUU_20",2009,199.60788,158.33896,479.627707023641,281.709105968128,626.605963855974,0.770780316360152,0.45271745280751,1.00698007221309,0.385390158180076,0.226358726403755,0.503490036106546,0.416172537734901,0.318554069884148,0.708560269338909,0.282762719349769,0.203742735688374,0.392429969019201,1.47180837237638,1.12657733175252,2.50584755645401,1.47180837237638
"294","Micropogonias","IUU_20",2010,179.8116,169.21468,459.099527913583,289.55659124508,569.541010671197,0.737790736823688,0.465328665829243,0.915274480512004,0.368895368411844,0.232664332914621,0.457637240256002,0.391661478758581,0.315713173645027,0.620989490264472,0.282762719349769,0.203742735688374,0.392429969019201,1.38512417640922,1.11653040532016,2.19615050984259,1.38512417640922
"295","Micropogonias","IUU_20",2011,91.5744,156.99796,421.146030163024,285.465699703859,494.560357540448,0.676797994797406,0.458754444552694,0.794777664555203,0.338398997398703,0.229377222276347,0.397388832277602,0.217440966888734,0.18516324368459,0.32078950323979,0.282762719349769,0.203742735688374,0.392429969019201,0.768987394762485,0.654836125888113,1.13448301804943,0.768987394762485
"296","Micropogonias","IUU_20",2012,51.40272,107.59624,388.28247995118,268.469099761194,498.989775446974,0.623984995760729,0.431440249628154,0.801895910822647,0.311992497880365,0.215720124814077,0.400947955411323,0.132384855496089,0.103013573682859,0.191466057157875,0.282762719349769,0.203742735688374,0.392429969019201,0.468183556165101,0.364311016387681,0.677126240680397,0.468183556165101
"297","Micropogonias","IUU_20",2013,96.00504,79.66072,412.127825640886,267.648574801306,557.983835884156,0.66230539056962,0.430121634212692,0.896701652653778,0.33115269528481,0.215060817106346,0.448350826326889,0.232949667620005,0.172057027150033,0.358698117751126,0.282762719349769,0.203742735688374,0.392429969019201,0.823834443789792,0.608485544154088,1.26854812606123,0.823834443789792
"298","Micropogonias","IUU_20",2014,138.45864,95.2888,473.076081901437,281.475205714066,648.034716816761,0.76025160083681,0.452341566032867,1.04141690883543,0.380125800418405,0.226170783016433,0.520708454417715,0.29267732040794,0.213659293872601,0.491903504071517,0.282762719349769,0.203742735688374,0.392429969019201,1.03506332475855,0.755613379175035,1.73963351746893,1.03506332475855
