"","Name","Adjusted","Implementation_year","Reserve_size","C_change","B_change","PV_change","C_per","B_per","PV_per","Transition_period","Payoff_period","B_per_50","Loss"
"3842","Micropogonias","IUU_60_legal",2015,0.1,1464.85287776124,12450.0594060714,239256.265152922,11.3954173471562,46.9116627007392,39.7254918499901,2021,2032,25.488529282334,504.070282277632
"3843","Micropogonias","IUU_60_legal",2015,0.15,1848.65008776124,15402.5235060714,233160.289265719,14.3810614695258,58.0365092157445,38.713331770211,2021,2033,35.7479347046564,550.061672277632
"3844","Micropogonias","IUU_60_legal",2015,0.2,2263.00534776124,18619.3292060714,225513.426605379,17.604423480396,70.1573914581718,37.4436664592643,2021,2034,47.1288579558751,599.572612277632
"3845","Micropogonias","IUU_60_legal",2015,0.25,2826.07612776124,24880.0960060714,204065.942673109,21.9846767000197,93.7478797273571,33.8825816633882,2022,2037,70.4459439718302,662.848526204025
"3846","Micropogonias","IUU_60_legal",2015,0.3,2855.04974776124,24975.2850060714,204137.730873269,22.2100689540613,94.1065506473242,33.8945011905887,2022,2037,70.7144190384868,665.081806204025
"3847","Micropogonias","IUU_60_legal",2015,0.35,3297.06984776124,34613.0471060714,161023.580955209,25.6486419273621,130.4215134984,26.7359391771992,2022,2041,108.541012127482,808.373806204025
"3848","Micropogonias","IUU_60_legal",2015,0.4,3381.65281776124,41872.0330060714,123097.232854779,26.3066317215898,157.773278416418,20.4387463684737,2023,2045,137.927606155448,899.12270198627
"3849","Micropogonias","IUU_60_legal",2015,0.45,3141.89854776124,51051.4175060714,69419.7029376791,24.4415297656935,192.361080403483,11.5262680436681,2024,2053,176.25958084845,1027.81710094173
"3850","Micropogonias","IUU_60_legal",2015,0.5,2997.45159776124,53975.7300060714,51283.1962065991,23.3178447152948,203.379852054055,8.51492934425176,2024,2057,188.999498736122,1077.31595094173
"3851","Micropogonias","IUU_60_legal",2015,0.55,2110.27001776124,65836.9921060714,-26526.6897262408,16.4162612728263,248.072934126331,-4.4044229974645,2026,2087,241.236331148584,1258.81208049205
"3852","Micropogonias","IUU_60_legal",2015,0.6,1008.41901776124,74936.8455060714,-91780.1740597109,7.84471651908213,282.361063957969,-15.2389428726949,2027,NA,283.724027773074,1433.73567594607
"3853","Micropogonias","IUU_60_legal",2015,0.65,-199.112272238759,84143.9563060714,-159581.974137431,-1.54893878801599,317.053338284572,-26.4965785073587,2028,NA,327.718541218343,1640.43187307631
"3854","Micropogonias","IUU_60_legal",2015,0.7,-877.977562238761,88199.9509060714,-191407.099666831,-6.8299833348726,332.336273440563,-31.7807400904839,2029,NA,347.53991160004,1739.3011933366
"3855","Micropogonias","IUU_60_legal",2015,0.75,-2428.53903223876,97963.4287060714,-267593.284935131,-18.8921469427799,369.124931422098,-44.4304973707092,2032,NA,394.065406423963,2020.7405818002
"3856","Micropogonias","IUU_60_legal",2015,0.8,-3787.59491223876,104950.150006071,-324771.042073031,-29.4645458408697,395.450806851241,-53.924144376068,2037,NA,426.548812076513,2285.15733421167
"3857","Micropogonias","IUU_60_legal",2015,0.85,-5130.64106223876,110706.034306071,-373290.474334031,-39.9124014774927,417.13890439513,-61.9801854984125,2100,NA,452.823197184311,4947.76183466778
"3858","Micropogonias","IUU_60_legal",2015,0.9,-5924.03071223876,114482.493006071,-405336.456551831,-46.0843565713597,431.368551897958,-67.3010175552218,2100,NA,469.912158603585,5670.16953466778
"3859","Micropogonias","IUU_60_legal",2015,0.95,-7398.09379023876,119835.040706071,-452427.732463531,-57.5514221209837,451.536882353439,-75.119931288746,2106,NA,494.102206105433,7104.36017351282
"3860","Micropogonias","IUU_60_legal",2015,1,-8588.16353323876,124005.213906071,-489512.922111031,-66.8092401582694,467.250040996414,-81.2774603221256,2114,NA,512.396067004558,8505.60534216952
"3861","Micropogonias","IUU_60_legal",2020,0.05,1024.83955477284,9656.50084292421,252470.496933185,7.62268420329474,34.7835631127472,41.9195460666729,2021,2030,16.5104496501254,425.701052277632
"3862","Micropogonias","IUU_60_legal",2020,0.1,1554.64887477284,12641.2801429242,260150.116422199,11.5633684943275,45.5349999787468,43.1946501554863,2021,2031,26.215816202115,450.372452277632
"3863","Micropogonias","IUU_60_legal",2020,0.15,2031.05057477283,15707.0495429242,264495.684172189,15.1068106810586,56.5781702894674,43.9161769465147,2021,2031,36.6221589275056,473.642152277632
