"","Adjusted","Implementation_year","Reserve_size","C_change","B_change","PV_change","C_per","B_per","PV_per","Transition_period","Payoff_period","B_per_50","Loss"
"305","IUU_40",2030,0.25,113023.677362313,1273787.4659037,12113425.7295877,13.1386510692529,57.0784870404354,16.2572295174123,2035,2042,64.3084142838165,7280.16095063082
"306","IUU_40",2030,0.3,111251.648982313,1286216.1678037,12079120.1789877,12.9326582798395,57.6354178623487,16.2111886019623,2035,2042,65.0793133591268,7355.22677063083
"307","IUU_40",2030,0.35,129938.198042313,1852145.1394337,13721092.0776335,15.1049115060443,82.9947264892966,18.4148520918226,2035,2044,95.035442778429,11079.6588206308
"308","IUU_40",2030,0.4,120543.625602313,1465741.5859737,12868544.7807593,14.0128216704048,65.6799618139374,17.2706623812374,2035,2043,74.3733153027979,8515.95621063083
"309","IUU_40",2030,0.45,125815.054271313,2711076.9941637,13330821.9058605,14.6256088627417,121.483510569175,17.8910769106353,2036,2051,142.833519121239,16508.1850438745
"310","IUU_40",2030,0.5,114457.451498313,2869483.4721937,12701445.3676111,13.3053228545342,128.581713641021,17.0464010060972,2036,2055,152.318609988258,17785.1083058745
"311","IUU_40",2030,0.55,84266.1277583127,3505105.5151937,10423871.2465249,9.79567534353411,157.06397266392,13.9897062233013,2037,2087,189.996591800327,22916.9043756281
"312","IUU_40",2030,0.6,94804.1796993127,3347643.2602037,11137028.5319508,11.0206911157481,150.008080278899,14.9468228912035,2037,2076,180.507381047229,21389.0877566281
"313","IUU_40",2030,0.65,-5941.8929316873,4461307.1236437,4966147.84969777,-0.690726578202201,199.911419806317,6.66498538169419,2081,NA,249.771124103697,47508.3633922458
"314","IUU_40",2030,0.7,-43666.7202666873,4698606.2919337,3251325.86691818,-5.07612045822521,210.544808707139,4.36355099163079,2093,NA,265.320014179947,71305.1958294722
"315","IUU_40",2030,0.75,-109509.603152687,5169131.2573237,-257089.680640459,-12.7301508686824,231.629058519693,-0.345035833630561,2107,NA,295.988490492046,128078.698768826
"316","IUU_40",2030,0.8,-128860.494780687,5246228.1498237,-939476.761684179,-14.9796318527792,235.08377455138,-1.26085631611784,2107,NA,301.10473409504,141551.889876826
"317","IUU_40",2030,0.85,-272489.319908687,5950508.1000237,-7048699.71583727,-31.6760361893168,266.642598206321,-9.45994400244578,2119,NA,347.626289290249,269951.914664889
