"","Name","Adjusted","r","r.low","r.hi","k","k.low","k.hi","msy","msy.low","msy.hi","bmsy","bmsy.low","bmsy.hi","year","catch","catch_ma","b","b_lo","b_hi","bbmsy","bbmsy_lo","bbmsy_hi","s","s_lo","s_hi","f","f_lo","f_hi","fmsy","fmsy_lo","fmsy_hi","ffmsy","ffmsy_lo","ffmsy_hi","er"
"12","Cephalopholis","IUU_40",0.453277843706809,0.391679059615924,0.524564177101955,2122.57686054394,1405.92555193414,3204.53136563211,240.529265612332,142.840932481738,405.026252705291,1061.28843027197,702.96277596707,1602.26568281605,2015,321.646318,232.814969333333,576.634711878237,49.7240945167159,840.179046672502,0.543334587874915,0.0468525738134857,0.791659479842999,0.271667293937457,0.0234262869067428,0.395829739921499,0.557799090783697,0.38283068266683,6.46862091962019,0.226638921853405,0.195839529807962,0.262282088550978,2.46117959890621,1.68916565405501,28.5415270542288,2.46117959890621
"13","Cephalopholis","IUU_60",0.453277843706809,0.391679059615924,0.524564177101955,2447.89342864292,1614.6379151441,3711.16160582565,277.393963739833,163.3886523511,470.947094624087,1223.94671432146,807.318957572052,1855.58080291283,2015,367.595792,266.074250666667,675.371388836498,53.8693218472374,966.400749470009,0.551798032491076,0.0440127999176025,0.78957746947813,0.275899016245538,0.0220063999588013,0.394788734739065,0.544286888778749,0.380376145405098,6.82384294798491,0.226638921853405,0.195839529807962,0.262282088550978,2.40155964530579,1.6783354875432,30.1088749107213,2.40155964530579
"14","Dasyatis","IUU",0.609570907296309,0.422844829740598,0.878754249519844,950.645821363258,582.778720218831,1550.72147681727,144.871508961462,113.706726011619,184.577947540467,475.322910681629,291.389360109415,775.360738408634,2015,99.2017,98.1671666666667,393.895958600725,289.893243290053,544.959842552635,0.828691295430857,0.609886956373167,1.14650447160467,0.414345647715429,0.304943478186584,0.573252235802335,0.25184746843406,0.182034880836965,0.342200800798739,0.304785453648155,0.211422414870299,0.439377124759922,0.826310656954102,0.597255802919999,1.12275962222848,0.826310656954102
"15","Dasyatis","IUU_20",0.609570907296309,0.422844829740598,0.878754249519844,1131.59382540222,695.899673723811,1840.07067978113,172.446668710334,136.190050062606,218.355551933649,565.796912701112,347.949836861906,920.035339890565,2015,119.04204,117.8006,468.184230753178,346.761952574399,656.325542076551,0.827477528143567,0.612873532517099,1.1600019854178,0.413738764071783,0.306436766258549,0.5800009927089,0.254263241221292,0.181376515720175,0.343296140525853,0.304785453648155,0.211422414870299,0.439377124759922,0.834236798960931,0.595095709290499,1.12635342801548,0.834236798960931
"16","Dasyatis","IUU_40",0.609570907296309,0.422844829740598,0.878754249519844,1329.98573718815,814.791711415536,2170.937721066,202.680153127233,158.874853052538,258.563540311154,664.992868594076,407.395855707768,1085.468860533,2015,138.88238,137.434033333333,557.11631895669,406.17968463156,772.81189746671,0.837777884948664,0.610803068445384,1.16213561673313,0.418888942474332,0.305401534222692,0.581067808366565,0.249287940909871,0.179710457946182,0.341923501481809,0.304785453648155,0.211422414870299,0.439377124759922,0.817912856161599,0.589629379601692,1.12184980414625,0.817912856161599
"17","Dasyatis","IUU_60",0.609570907296309,0.422844829740598,0.878754249519844,1514.55906535251,934.498715613921,2454.67342449423,230.807785905196,183.466353191041,290.365143841863,757.279532676257,467.24935780696,1227.33671224711,2015,158.72272,157.067466666667,632.743914713453,462.839008349441,871.275955471487,0.835548681049533,0.611186475242172,1.15053413947735,0.417774340524766,0.305593237621086,0.575267069738675,0.250848275754465,0.182172730698287,0.342932892726633,0.304785453648155,0.211422414870299,0.439377124759922,0.823032309291391,0.597708087829506,1.12516161326556,0.823032309291391
"18","Epinephelus","IUU",0.446529415793109,0.408479928715738,0.48812317362915,773.633171362402,630.864703477662,948.711000208049,86.3624920116558,68.9418516381136,108.185084230317,386.816585681201,315.432351738831,474.355500104025,2015,423.57876,241.125153333333,276.94924853302,141.267803719113,307.772208035661,0.715970459346515,0.365206169922455,0.79565411471088,0.357985229673258,0.182603084961228,0.39782705735544,1.52944542093422,1.37627358462113,2.99840974977013,0.223264707896554,0.204239964357869,0.244061586814575,6.85036804671725,6.16431319390973,13.4298419934752,6.85036804671725
"19","Epinephelus","IUU_20",0.45214606441113,0.418558966222266,0.488428345969091,926.594836331037,766.406313263079,1120.2647679921,104.739052137688,83.9938703720809,130.607971678227,463.297418165519,383.203156631539,560.132383996049,2015,508.294512,289.350184,331.240119307837,159.451976341456,368.645136817631,0.714962152432064,0.344167634200995,0.795698664320915,0.357481076216032,0.172083817100497,0.397849332160457,1.53451977092068,1.37881789622374,3.18775924678112,0.226073032205565,0.209279483111133,0.244214172984545,6.78771703086354,6.09899324466972,14.1005727913736,6.78771703086354
"20","Epinephelus","IUU_40",0.451017111029826,0.416523456847295,0.488367296241532,1078.57874892965,881.866691504644,1319.17003879325,121.614367840104,96.7310845357518,152.898673018411,539.289374464827,440.933345752322,659.585019396626,2015,593.010264,337.575214666667,387.867096347528,188.823700195835,430.657413276845,0.719218873415472,0.350134286222897,0.798564617936734,0.359609436707736,0.175067143111448,0.399282308968367,1.5289006713492,1.3769884035847,3.14054995948587,0.225508555514913,0.208261728423648,0.244183648120766,6.77979009646973,6.10614706142997,13.9265224430839,6.77979009646973
"21","Epinephelus","IUU_60",0.444302341040761,0.404516602025304,0.488001158088321,1249.01744147223,1013.8450950503,1538.74055979374,138.735343311714,110.78271493421,173.740962164084,624.508720736115,506.922547525151,769.370279896869,2015,677.726016,385.800245333333,450.197551658638,266.531606243467,497.116324238384,0.720882730233111,0.426786043803044,0.796011821344028,0.360441365116555,0.213393021901522,0.398005910672014,1.50539693852863,1.36331474738497,2.54276040861331,0.222151170520381,0.202258301012652,0.244000579044161,6.77645287667086,6.13687852371636,11.4460815248328,6.77645287667086
